id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews
27674344,Outer Sunset,37.75123133,-122.4933097,Entire home/apt,175,,1,5
27678777,Mission,37.76057703,-122.419084,Private room,91,,14,2
27680638,Downtown/Civic Center,37.7845591,-122.4178029,Entire home/apt,85,,30,1
27680964,Potrero Hill,37.75813062,-122.3883439,Shared room,45,,30,0
27698150,Nob Hill,37.79540128,-122.4194585,Private room,160,,1,15
27699796,Castro/Upper Market,37.76204502,-122.4297865,Entire home/apt,158,,2,0
27701063,Visitacion Valley,37.72010832,-122.4037474,Private room,90,,1,3
27702037,Visitacion Valley,37.71841508,-122.4043648,Private room,100,,1,2
27702297,Visitacion Valley,37.72000587,-122.4034291,Private room,100,,1,5
27705941,Financial District,37.78550698,-122.3980158,Private room,149,,2,9
27706337,Bayview,37.73263784,-122.3941387,Private room,105,,2,8
27706376,Western Addition,37.78199439,-122.4373847,Entire home/apt,350,,2,2
27707326,Castro/Upper Market,37.76436624,-122.4309107,Entire home/apt,325,,3,9
27707954,Western Addition,37.77036753,-122.4338516,Entire home/apt,1500,,2,15
27710210,Haight Ashbury,37.77003878,-122.4502677,Shared room,100,,1,5
27713331,Haight Ashbury,37.77042349,-122.4491296,Shared room,100,,1,6
27725251,South of Market,37.77603548,-122.3961074,Entire home/apt,349,,2,5
27725598,Chinatown,37.79207671,-122.4086202,Private room,250,,1,7
27727846,Outer Sunset,37.75815675,-122.4895586,Private room,120,,1,15
27728209,Western Addition,37.77239188,-122.4304204,Entire home/apt,345,,3,0
27728373,South of Market,37.78585422,-122.3909723,Entire home/apt,85,,30,1
27729286,Potrero Hill,37.76399642,-122.3966646,Entire home/apt,400,,5,12
27729600,Castro/Upper Market,37.75833974,-122.4281593,Entire home/apt,142,,30,1
27730425,Bernal Heights,37.74306954,-122.4106393,Private room,80,,5,3
27734387,Pacific Heights,37.79273607,-122.4344241,Entire home/apt,268,,1,16
27735398,Outer Sunset,37.75157368,-122.4888871,Private room,65,,1,20
27741340,South of Market,37.77319792,-122.3927171,Entire home/apt,284,,30,0
27743891,Western Addition,37.78707863,-122.4240532,Entire home/apt,142,,30,0
27753881,Russian Hill,37.79659348,-122.4234156,Entire home/apt,175,,2,1
27756492,Marina,37.79593279,-122.438959,Entire home/apt,168,,30,0
27759254,Downtown/Civic Center,37.78093501,-122.4157246,Private room,85,,30,1
27766709,Outer Sunset,37.75685371,-122.4836489,Private room,130,,2,1
27777768,South of Market,37.77484207,-122.3942186,Shared room,37,,30,0
27777839,Inner Richmond,37.7758055,-122.4733968,Private room,60,,2,12
27780282,Outer Sunset,37.75391382,-122.5084549,Entire home/apt,140,,2,16
27782140,Russian Hill,37.79951169,-122.4218786,Entire home/apt,295,,1,12
27782167,Chinatown,37.7927669,-122.4082827,Private room,71,,30,0
27787390,Bernal Heights,37.74428485,-122.4121952,Private room,89,,2,19
27807680,Nob Hill,37.79129564,-122.4181944,Private room,60,,30,0
27807924,Nob Hill,37.79125841,-122.4189908,Private room,60,,30,1
27808088,Financial District,37.78966173,-122.4059719,Entire home/apt,90,,2,2
27811754,Potrero Hill,37.75631015,-122.4028415,Entire home/apt,218,,2,7
27826583,Excelsior,37.72188477,-122.4314118,Entire home/apt,109,,2,22
27828332,South of Market,37.78120417,-122.3889942,Entire home/apt,267,,60,0
27832283,Outer Richmond,37.77729424,-122.5027717,Private room,66,,1,36
27833309,South of Market,37.775594,-122.4023977,Entire home/apt,311,,30,1
27834918,South of Market,37.77759601,-122.4144958,Entire home/apt,125,,30,0
27838782,Inner Richmond,37.78472576,-122.4694027,Entire home/apt,150,,30,1
27842056,South of Market,37.77135558,-122.4026245,Private room,150,,1,25
27852325,Seacliff,37.7793293,-122.510148,Private room,94,,1,26
27855141,Inner Richmond,37.77869503,-122.4554026,Private room,325,,30,0
27857184,Inner Richmond,37.7805696,-122.4667604,Entire home/apt,275,,2,26
27866104,Outer Sunset,37.76340529,-122.4788986,Private room,60,,30,0
27869666,South of Market,37.78811732,-122.3882378,Entire home/apt,155,,30,0
27870072,Western Addition,37.77233263,-122.4309038,Entire home/apt,260,,5,1
27872617,Downtown/Civic Center,37.78787993,-122.4122387,Entire home/apt,1050,,3,0
27873793,Outer Richmond,37.77654623,-122.5058821,Private room,72,,1,33
27877560,Outer Sunset,37.74719455,-122.5010577,Private room,81,,1,6
27880388,Russian Hill,37.80074182,-122.4226208,Entire home/apt,170,,30,0
27895654,Visitacion Valley,37.71714349,-122.4056942,Private room,102,,2,0
27895671,Noe Valley,37.74744264,-122.4326226,Entire home/apt,155,,1,17
27898470,Mission,37.76451833,-122.4122039,Entire home/apt,200,,30,1
27899334,Bernal Heights,37.73379162,-122.4256753,Entire home/apt,100,,5,2
27901261,Outer Sunset,37.7613577,-122.4921032,Private room,62,,1,9
27901976,Bayview,37.730767,-122.3996958,Private room,48,,30,1
27903069,Excelsior,37.72872384,-122.4081248,Entire home/apt,399,,1,15
27905010,Pacific Heights,37.78825478,-122.4459213,Private room,199,,3,11
27909437,Mission,37.76283672,-122.4253015,Entire home/apt,750,,2,3
27926531,Marina,37.80218053,-122.4412394,Private room,150,,3,0
27928375,Pacific Heights,37.78955669,-122.44705,Private room,125,,3,11
27931863,Pacific Heights,37.79468499,-122.4360991,Entire home/apt,99,,30,0
27932896,Mission,37.74917556,-122.4180736,Entire home/apt,343,,30,0
27933541,Western Addition,37.77492415,-122.4333069,Entire home/apt,350,,2,1
27933930,West of Twin Peaks,37.74188198,-122.4634372,Entire home/apt,150,,3,0
27934189,Potrero Hill,37.76435181,-122.3970057,Entire home/apt,550,,2,8
27934464,Marina,37.80319208,-122.4376563,Entire home/apt,136,,30,0
27937426,Western Addition,37.78748999,-122.4249759,Entire home/apt,178,,2,5
27937727,Nob Hill,37.79225641,-122.4096846,Private room,200,,1,8
27937740,Marina,37.80361442,-122.4378125,Entire home/apt,242,,30,0
27938375,Nob Hill,37.79210548,-122.4099052,Private room,150,,1,6
27939041,Bernal Heights,37.745157,-122.4193819,Entire home/apt,299,,2,5
27944564,Visitacion Valley,37.7124941,-122.3978896,Entire home/apt,121,,2,15
27956392,Western Addition,37.7745462,-122.4316922,Entire home/apt,380,,30,1
27956525,Marina,37.79795532,-122.4357749,Entire home/apt,161,,2,9
27957290,Western Addition,37.77049439,-122.4309609,Private room,110,,2,8
27957339,Castro/Upper Market,37.75950293,-122.4329698,Entire home/apt,140,,1,27
27959555,Russian Hill,37.80172467,-122.4228276,Entire home/apt,210,,30,0
27960744,Castro/Upper Market,37.76701625,-122.4351831,Entire home/apt,175,,30,0
27961176,Chinatown,37.79495496,-122.407723,Private room,54,,30,1
27961487,Outer Mission,37.73102305,-122.4388937,Entire home/apt,200,,2,0
27963021,Chinatown,37.79161715,-122.4075352,Entire home/apt,125,,30,0
27980774,Castro/Upper Market,37.75803645,-122.4404085,Private room,175,,2,4
27982895,Inner Sunset,37.75710359,-122.4744758,Private room,500,,4,0
27983593,Ocean View,37.71972621,-122.4495809,Entire home/apt,99,,1,21
27984599,Outer Sunset,37.76250723,-122.4909492,Private room,85,,1,8
27984794,Excelsior,37.72601045,-122.4089128,Private room,79,,30,11
27986823,Excelsior,37.7246456,-122.4104799,Private room,107,,30,11
27987585,Haight Ashbury,37.77355094,-122.4532922,Entire home/apt,233,,30,0
27987824,Russian Hill,37.79831676,-122.4107626,Entire home/apt,209,,30,0
27988195,Excelsior,37.72610908,-122.4094381,Private room,79,,30,17
27989150,Inner Sunset,37.75713313,-122.473972,Private room,500,,3,2
27990053,Western Addition,37.77383092,-122.4245099,Entire home/apt,350,,3,4
27995396,Downtown/Civic Center,37.78677654,-122.4092468,Private room,320,,1,2
28004855,Financial District,37.79254528,-122.3929498,Entire home/apt,215,,30,0
